studentId,fullName,permanentAddress,district,province,dateOfBirth,nationalId,sex,maritalStatus,mobilePhone,whatsappNumber,emailAddress,expectedJobCategory,educationOL,educationAL,guardianContact,passportId,passportExpiredDate,spouseName,numberOfChildren,hasDrivingLicense,vehicleType,otherQualifications,workExperience,workExperienceAbroad,guardianName,admissionDate
STU101,Chandana Herath,23 Flower Road Matale,Matale,Central,1996-01-14,960114455V,Male,Married,0782345681,0782345681,chandana.herath@email.com,Agriculture,true,false,0785432109,P3456789,2031-04-22,Sanduni Herath,1,true,tractor,Agricultural Machinery License,4 years in paddy cultivation,1 year in Japan,Gunadasa Herath,2025-09-17
STU102,Dilanka Perera,67 Pine Avenue Ratnapura,Ratnapura,Sabaragamuwa,1994-08-27,948271032V,Female,Single,0793456782,0793456782,dilanka.perera@email.com,Gem Industry,true,true,0796543210,,,,,false,,,2 years in gem cutting,,Kamani Perera,2025-09-17
STU103,Eranga Silva,45 Mountain View Nuwara Eliya,Nuwara Eliya,Central,1995-12-03,951203765V,Male,Single,0704567883,0704567883,eranga.silva@email.com,Tea Industry,false,true,0707654321,,,,,true,motorcycle,Tea Processing Certificate,3 years in tea factory,,Premasiri Silva,2025-09-17
STU104,Fathima Naseer,89 Mosque Road Ampara,Ampara,Eastern,1997-06-18,976180987V,Female,Married,0715678984,0715678984,fathima.naseer@email.com,Tailoring,true,false,0718765432,,2028-11-30,Mohammed Naseer,2,false,,,1 year in garment factory,,Zainab Naseer,2025-09-17
STU105,Geeth Bandara,12 Railway Station Polonnaruwa,Polonnaruwa,North Central,1996-03-21,960321210V,Male,Single,0726789085,0726789085,geeth.bandara@email.com,Transport,true,true,0729876543,P4567890,2030-07-15,,,0,true,bus,Public Service Vehicle License,2 years driving buses,Siripala Bandara,2025-09-17
STU106,Hashini Fernando,34 School Lane Gampaha,Gampaha,Western,1994-10-09,941009543V,Female,Single,0737890186,0737890186,hashini.fernando@email.com,Education,true,true,0730987654,,,,,false,,,2 years teaching primary school,,Violet Fernando,2025-09-17
STU107,Indika Ranasinghe,56 Temple Road Trincomalee,Trincomalee,Eastern,1995-05-15,950515876V,Male,Married,0748901287,0748901287,indika.ranasinghe@email.com,Fishing,false,true,0741098765,,2029-03-18,Malathi Ranasinghe,3,true,boat,Boat Operating License,6 years in deep sea fishing,8 months in Maldives,Jayasena Ranasinghe,2025-09-17
STU108,Janaki Wickramarachchi,78 Hospital Road Anuradhapura,Anuradhapura,North Central,1997-01-28,970128432V,Female,Single,0759012388,0759012388,janaki.wickramarachchi@email.com,Healthcare,true,true,0752109876,,,,,false,,,Nursing Assistant Certificate,1 year in hospital,Manel Wickramarachchi,2025-09-17
STU109,Kamal Jayawardene,90 Fort Road Galle,Galle,Southern,1996-07-12,960712109V,Male,Single,0760123489,0760123489,kamal.jayawardene@email.com,Tourism,true,false,0763210987,,,,,true,car,Tour Guide License,3 years in hotel industry,,Kusuma Jayawardene,2025-09-17
STU110,Lakshmi Gunaratne,23 Beach Road Kalutara,Kalutara,Western,1994-11-24,941124654V,Female,Married,0771234590,0771234590,lakshmi.gunaratne@email.com,Handicrafts,true,true,0774321098,,2032-01-15,Sunil Gunaratne,1,false,,,3 years in coconut shell crafts,,Leela Gunaratne,2025-09-17
